project,differences,metrics
docker,0.017857142857142905,F1
docker,0.1875,F1
docker,0.0,F1
docker,0.03749999999999998,F1
docker,0.1071428571428571,F1
docker,0.025000000000000022,F1
docker,0.1875,F1
docker,0.3125,F1
docker,0.025000000000000022,F1
docker,0.25,F1
docker,0.3125,F1
docker,0.05843977478926021,DLD
docker,0.0035617698493545236,DLD
docker,0.046971887369574084,DLD
docker,0.026776055563640266,DLD
docker,0.08963080477862662,DLD
docker,0.06512545835270084,DLD
docker,0.13989471829917421,DLD
docker,0.061355330327991786,DLD
docker,0.2766486811043731,DLD
docker,0.09758615083810451,DLD
docker,0.10315032381177591,DLD
docker,0.022443681557302808,DLD
docker,0.05313756545594461,DLD
docker,0.0023712936588783373,DLD
docker,0.009170415868004045,DLD
docker,0.0,DLD
docker,0.06131381131457436,DLD
docker,0.007407407510465092,DLD
docker,0.005255519108894213,DLD
docker,0.0543690080809609,DLD
docker,0.0014749820933238067,DLD
docker,0.0008993084281357921,DLD
docker,0.11980562509157178,DLD
docker,0.03245841413960432,DLD
dl4j,0.6875,NMI
dl4j,0.5023875744847286,NMI
dl4j,0.31080900279649026,NMI
dl4j,0.5313544011429174,NMI
dl4j,0.36825303207421134,NMI
dl4j,0.6460661106138214,NMI
